version,class,role,package,parent,full
bitcoin-wallet-7.07-prod,Configuration,Information Holder,wallet,,wallet.Configuration
bitcoin-wallet-7.07-prod,Constants,Information Holder,wallet,,wallet.Constants
bitcoin-wallet-7.07-prod,Constants$Files,Information Holder,wallet,,wallet.Constants$Files
bitcoin-wallet-7.07-prod,Logging,Service Provider,wallet,,wallet.Logging
bitcoin-wallet-7.07-prod,WalletApplication,Controller,wallet,,wallet.WalletApplication
bitcoin-wallet-7.07-prod,WalletApplication$OnWalletLoadedListener,Service Provider,wallet,,wallet.WalletApplication$OnWalletLoadedListener
bitcoin-wallet-7.07-prod,WalletBalanceWidgetProvider,Interfacer,wallet,,wallet.WalletBalanceWidgetProvider
bitcoin-wallet-7.07-prod,AbstractWalletLiveData,Information Holder,wallet.data,,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,AddressBookDao,Service Provider,wallet.data,,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,AddressBookEntry,Information Holder,wallet.data,,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,AppDatabase,Information Holder,wallet.data,,wallet.data.AppDatabase
bitcoin-wallet-7.07-prod,BlockchainStateLiveData,Information Holder,wallet.data,,wallet.data.BlockchainStateLiveData
bitcoin-wallet-7.07-prod,ConfigFormatLiveData,Information Holder,wallet.data,,wallet.data.ConfigFormatLiveData
bitcoin-wallet-7.07-prod,ConfigOwnNameLiveData,Information Holder,wallet.data,,wallet.data.ConfigOwnNameLiveData
bitcoin-wallet-7.07-prod,DynamicFeeLiveData,Structurer,wallet.data,,wallet.data.DynamicFeeLiveData
bitcoin-wallet-7.07-prod,ExchangeRate,Information Holder,wallet.data,,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,ExchangeRatesProvider,Service Provider,wallet.data,,wallet.data.ExchangeRatesProvider
bitcoin-wallet-7.07-prod,PaymentIntent,Structurer,wallet.data,,wallet.data.PaymentIntent
bitcoin-wallet-7.07-prod,PaymentIntent$Output,Coordinator,wallet.data,,wallet.data.PaymentIntent$Output
bitcoin-wallet-7.07-prod,PaymentIntent$Standard,Information Holder,wallet.data,,wallet.data.PaymentIntent$Standard
bitcoin-wallet-7.07-prod,SelectedExchangeRateLiveData,Coordinator,wallet.data,,wallet.data.SelectedExchangeRateLiveData
bitcoin-wallet-7.07-prod,ThrottelingLiveData,Information Holder,wallet.data,,wallet.data.ThrottelingLiveData
bitcoin-wallet-7.07-prod,TimeLiveData,Information Holder,wallet.data,,wallet.data.TimeLiveData
bitcoin-wallet-7.07-prod,WalletBalanceLiveData,Structurer,wallet.data,,wallet.data.WalletBalanceLiveData
bitcoin-wallet-7.07-prod,WalletBalanceLiveData$WalletListener,Service Provider,wallet.data,,wallet.data.WalletBalanceLiveData$WalletListener
bitcoin-wallet-7.07-prod,WalletLiveData,Service Provider,wallet.data,,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,BitcoinIntegration,Controller,wallet.integration.android,,wallet.integration.android.BitcoinIntegration
bitcoin-wallet-7.07-prod,SampleActivity,Interfacer,wallet.integration.sample,,wallet.integration.sample.SampleActivity
bitcoin-wallet-7.07-prod,AcceptBluetoothService,Interfacer,wallet.offline,,wallet.offline.AcceptBluetoothService
bitcoin-wallet-7.07-prod,AcceptBluetoothThread,Coordinator,wallet.offline,,wallet.offline.AcceptBluetoothThread
bitcoin-wallet-7.07-prod,AcceptBluetoothThread$ClassicBluetoothThread,Service Provider,wallet.offline,,wallet.offline.AcceptBluetoothThread$ClassicBluetoothThread
bitcoin-wallet-7.07-prod,AcceptBluetoothThread$PaymentProtocolThread,Service Provider,wallet.offline,,wallet.offline.AcceptBluetoothThread$PaymentProtocolThread
bitcoin-wallet-7.07-prod,DirectPaymentTask,Service Provider,wallet.offline,,wallet.offline.DirectPaymentTask
bitcoin-wallet-7.07-prod,DirectPaymentTask$BluetoothPaymentTask,Service Provider,wallet.offline,,wallet.offline.DirectPaymentTask$BluetoothPaymentTask
bitcoin-wallet-7.07-prod,DirectPaymentTask$HttpPaymentTask,Service Provider,wallet.offline,,wallet.offline.DirectPaymentTask$HttpPaymentTask
bitcoin-wallet-7.07-prod,DirectPaymentTask$ResultCallback,Service Provider,wallet.offline,,wallet.offline.DirectPaymentTask$ResultCallback
bitcoin-wallet-7.07-prod,BlockchainService,Interfacer,wallet.service,,wallet.service.BlockchainService
bitcoin-wallet-7.07-prod,BlockchainService$ImpedimentsLiveData,Structurer,wallet.service,,wallet.service.BlockchainService$ImpedimentsLiveData
bitcoin-wallet-7.07-prod,BlockchainService$LocalBinder,Information Holder,wallet.service,,wallet.service.BlockchainService$LocalBinder
bitcoin-wallet-7.07-prod,BlockchainService$NewTransactionLiveData,Information Holder,wallet.service,,wallet.service.BlockchainService$NewTransactionLiveData
bitcoin-wallet-7.07-prod,BlockchainService$PeerConnectivityListener,Service Provider,wallet.service,,wallet.service.BlockchainService$PeerConnectivityListener
bitcoin-wallet-7.07-prod,BlockchainState,Information Holder,wallet.service,,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,BlockchainState$Impediment,Information Holder,wallet.service,,wallet.service.BlockchainState$Impediment
bitcoin-wallet-7.07-prod,BootstrapReceiver,Service Provider,wallet.service,,wallet.service.BootstrapReceiver
bitcoin-wallet-7.07-prod,InactivityNotificationService,Interfacer,wallet.service,,wallet.service.InactivityNotificationService
bitcoin-wallet-7.07-prod,UpgradeWalletService,Coordinator,wallet.service,,wallet.service.UpgradeWalletService
