version,source,target
bitcoin-wallet-7.07-prod,wallet.Configuration,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,wallet.Constants,wallet.Constants$Files
bitcoin-wallet-7.07-prod,wallet.Constants$Files,wallet.Constants
bitcoin-wallet-7.07-prod,wallet.WalletApplication,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.WalletApplication,wallet.WalletApplication$OnWalletLoadedListener
bitcoin-wallet-7.07-prod,wallet.WalletApplication$OnWalletLoadedListener,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.WalletBalanceWidgetProvider,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,wallet.data.AbstractWalletLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.AbstractWalletLiveData,wallet.WalletApplication$OnWalletLoadedListener
bitcoin-wallet-7.07-prod,wallet.data.AbstractWalletLiveData,wallet.data.ThrottelingLiveData
bitcoin-wallet-7.07-prod,wallet.data.AddressBookDao,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,wallet.data.AppDatabase,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,wallet.data.BlockchainStateLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.BlockchainStateLiveData,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,wallet.data.ConfigFormatLiveData,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.data.ConfigFormatLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.ConfigOwnNameLiveData,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.data.ConfigOwnNameLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.DynamicFeeLiveData,wallet.WalletApplication
bitcoin-wallet-7.07-prod,wallet.data.DynamicFeeLiveData,wallet.ui.send.FeeCategory
bitcoin-wallet-7.07-prod,wallet.data.ExchangeRatesProvider,wallet.Configuration
bitcoin-wallet-7.07-prod,wallet.data.ExchangeRatesProvider,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,wallet.data.PaymentIntent,wallet.data.PaymentIntent$Output
