version,label,name,role,parent,full
bitcoin-wallet-7.07-prod,Configuration,Configuration,Information Holder,wallet,wallet.Configuration
bitcoin-wallet-7.07-prod,Constants,Constants,Information Holder,wallet,wallet.Constants
bitcoin-wallet-7.07-prod,Constants$Files,Constants$Files,Information Holder,wallet,wallet.Constants$Files
bitcoin-wallet-7.07-prod,Logging,Logging,Service Provider,wallet,wallet.Logging
bitcoin-wallet-7.07-prod,WalletApplication,WalletApplication,Controller,wallet,wallet.WalletApplication
bitcoin-wallet-7.07-prod,WalletApplication$OnWalletLoadedListener,WalletApplication$OnWalletLoadedListener,Service Provider,wallet,wallet.WalletApplication$OnWalletLoadedListener
bitcoin-wallet-7.07-prod,WalletBalanceWidgetProvider,WalletBalanceWidgetProvider,Interfacer,wallet,wallet.WalletBalanceWidgetProvider
bitcoin-wallet-7.07-prod,AbstractWalletLiveData,AbstractWalletLiveData,Information Holder,wallet.data,wallet.data.AbstractWalletLiveData
bitcoin-wallet-7.07-prod,AddressBookDao,AddressBookDao,Service Provider,wallet.data,wallet.data.AddressBookDao
bitcoin-wallet-7.07-prod,AddressBookEntry,AddressBookEntry,Information Holder,wallet.data,wallet.data.AddressBookEntry
bitcoin-wallet-7.07-prod,AppDatabase,AppDatabase,Information Holder,wallet.data,wallet.data.AppDatabase
bitcoin-wallet-7.07-prod,BlockchainStateLiveData,BlockchainStateLiveData,Information Holder,wallet.data,wallet.data.BlockchainStateLiveData
bitcoin-wallet-7.07-prod,ConfigFormatLiveData,ConfigFormatLiveData,Information Holder,wallet.data,wallet.data.ConfigFormatLiveData
bitcoin-wallet-7.07-prod,ConfigOwnNameLiveData,ConfigOwnNameLiveData,Information Holder,wallet.data,wallet.data.ConfigOwnNameLiveData
bitcoin-wallet-7.07-prod,DynamicFeeLiveData,DynamicFeeLiveData,Structurer,wallet.data,wallet.data.DynamicFeeLiveData
bitcoin-wallet-7.07-prod,ExchangeRate,ExchangeRate,Information Holder,wallet.data,wallet.data.ExchangeRate
bitcoin-wallet-7.07-prod,ExchangeRatesProvider,ExchangeRatesProvider,Service Provider,wallet.data,wallet.data.ExchangeRatesProvider
bitcoin-wallet-7.07-prod,PaymentIntent,PaymentIntent,Structurer,wallet.data,wallet.data.PaymentIntent
bitcoin-wallet-7.07-prod,PaymentIntent$Output,PaymentIntent$Output,Coordinator,wallet.data,wallet.data.PaymentIntent$Output
bitcoin-wallet-7.07-prod,PaymentIntent$Standard,PaymentIntent$Standard,Information Holder,wallet.data,wallet.data.PaymentIntent$Standard
bitcoin-wallet-7.07-prod,SelectedExchangeRateLiveData,SelectedExchangeRateLiveData,Coordinator,wallet.data,wallet.data.SelectedExchangeRateLiveData
bitcoin-wallet-7.07-prod,ThrottelingLiveData,ThrottelingLiveData,Information Holder,wallet.data,wallet.data.ThrottelingLiveData
bitcoin-wallet-7.07-prod,TimeLiveData,TimeLiveData,Information Holder,wallet.data,wallet.data.TimeLiveData
bitcoin-wallet-7.07-prod,WalletBalanceLiveData,WalletBalanceLiveData,Structurer,wallet.data,wallet.data.WalletBalanceLiveData
bitcoin-wallet-7.07-prod,WalletBalanceLiveData$WalletListener,WalletBalanceLiveData$WalletListener,Service Provider,wallet.data,wallet.data.WalletBalanceLiveData$WalletListener
bitcoin-wallet-7.07-prod,WalletLiveData,WalletLiveData,Service Provider,wallet.data,wallet.data.WalletLiveData
bitcoin-wallet-7.07-prod,BitcoinIntegration,BitcoinIntegration,Controller,wallet.integration.android,wallet.integration.android.BitcoinIntegration
bitcoin-wallet-7.07-prod,SampleActivity,SampleActivity,Interfacer,wallet.integration.sample,wallet.integration.sample.SampleActivity
bitcoin-wallet-7.07-prod,AcceptBluetoothService,AcceptBluetoothService,Interfacer,wallet.offline,wallet.offline.AcceptBluetoothService
bitcoin-wallet-7.07-prod,AcceptBluetoothThread,AcceptBluetoothThread,Coordinator,wallet.offline,wallet.offline.AcceptBluetoothThread
bitcoin-wallet-7.07-prod,AcceptBluetoothThread$ClassicBluetoothThread,AcceptBluetoothThread$ClassicBluetoothThread,Service Provider,wallet.offline,wallet.offline.AcceptBluetoothThread$ClassicBluetoothThread
bitcoin-wallet-7.07-prod,AcceptBluetoothThread$PaymentProtocolThread,AcceptBluetoothThread$PaymentProtocolThread,Service Provider,wallet.offline,wallet.offline.AcceptBluetoothThread$PaymentProtocolThread
bitcoin-wallet-7.07-prod,DirectPaymentTask,DirectPaymentTask,Service Provider,wallet.offline,wallet.offline.DirectPaymentTask
bitcoin-wallet-7.07-prod,DirectPaymentTask$BluetoothPaymentTask,DirectPaymentTask$BluetoothPaymentTask,Service Provider,wallet.offline,wallet.offline.DirectPaymentTask$BluetoothPaymentTask
bitcoin-wallet-7.07-prod,DirectPaymentTask$HttpPaymentTask,DirectPaymentTask$HttpPaymentTask,Service Provider,wallet.offline,wallet.offline.DirectPaymentTask$HttpPaymentTask
bitcoin-wallet-7.07-prod,DirectPaymentTask$ResultCallback,DirectPaymentTask$ResultCallback,Service Provider,wallet.offline,wallet.offline.DirectPaymentTask$ResultCallback
bitcoin-wallet-7.07-prod,BlockchainService,BlockchainService,Interfacer,wallet.service,wallet.service.BlockchainService
bitcoin-wallet-7.07-prod,BlockchainService$ImpedimentsLiveData,BlockchainService$ImpedimentsLiveData,Structurer,wallet.service,wallet.service.BlockchainService$ImpedimentsLiveData
bitcoin-wallet-7.07-prod,BlockchainService$LocalBinder,BlockchainService$LocalBinder,Information Holder,wallet.service,wallet.service.BlockchainService$LocalBinder
bitcoin-wallet-7.07-prod,BlockchainService$NewTransactionLiveData,BlockchainService$NewTransactionLiveData,Information Holder,wallet.service,wallet.service.BlockchainService$NewTransactionLiveData
bitcoin-wallet-7.07-prod,BlockchainService$PeerConnectivityListener,BlockchainService$PeerConnectivityListener,Service Provider,wallet.service,wallet.service.BlockchainService$PeerConnectivityListener
bitcoin-wallet-7.07-prod,BlockchainState,BlockchainState,Information Holder,wallet.service,wallet.service.BlockchainState
bitcoin-wallet-7.07-prod,BlockchainState$Impediment,BlockchainState$Impediment,Information Holder,wallet.service,wallet.service.BlockchainState$Impediment
bitcoin-wallet-7.07-prod,BootstrapReceiver,BootstrapReceiver,Service Provider,wallet.service,wallet.service.BootstrapReceiver
bitcoin-wallet-7.07-prod,InactivityNotificationService,InactivityNotificationService,Interfacer,wallet.service,wallet.service.InactivityNotificationService
bitcoin-wallet-7.07-prod,UpgradeWalletService,UpgradeWalletService,Coordinator,wallet.service,wallet.service.UpgradeWalletService
bitcoin-wallet-7.07-prod,AbstractWalletActivity,AbstractWalletActivity,Coordinator,wallet.ui,wallet.ui.AbstractWalletActivity
bitcoin-wallet-7.07-prod,AddressAndLabel,AddressAndLabel,Service Provider,wallet.ui,wallet.ui.AddressAndLabel
bitcoin-wallet-7.07-prod,AddressBookActivity,AddressBookActivity,Coordinator,wallet.ui,wallet.ui.AddressBookActivity
bitcoin-wallet-7.07-prod,AddressBookActivity$TwoFragmentAdapter,AddressBookActivity$TwoFragmentAdapter,Information Holder,wallet.ui,wallet.ui.AddressBookActivity$TwoFragmentAdapter
bitcoin-wallet-7.07-prod,AlertDialogsFragment,AlertDialogsFragment,Interfacer,wallet.ui,wallet.ui.AlertDialogsFragment
bitcoin-wallet-7.07-prod,BitmapFragment,BitmapFragment,Coordinator,wallet.ui,wallet.ui.BitmapFragment
bitcoin-wallet-7.07-prod,CircularProgressView,CircularProgressView,Interfacer,wallet.ui,wallet.ui.CircularProgressView
bitcoin-wallet-7.07-prod,CurrencyAmountView,CurrencyAmountView,Interfacer,wallet.ui,wallet.ui.CurrencyAmountView
bitcoin-wallet-7.07-prod,CurrencyAmountView$Listener,CurrencyAmountView$Listener,Service Provider,wallet.ui,wallet.ui.CurrencyAmountView$Listener
bitcoin-wallet-7.07-prod,CurrencyAmountView$TextViewListener,CurrencyAmountView$TextViewListener,Service Provider,wallet.ui,wallet.ui.CurrencyAmountView$TextViewListener
bitcoin-wallet-7.07-prod,CurrencyCalculatorLink,CurrencyCalculatorLink,Information Holder,wallet.ui,wallet.ui.CurrencyCalculatorLink
bitcoin-wallet-7.07-prod,CurrencySymbolDrawable,CurrencySymbolDrawable,Information Holder,wallet.ui,wallet.ui.CurrencySymbolDrawable
bitcoin-wallet-7.07-prod,CurrencyTextView,CurrencyTextView,Interfacer,wallet.ui,wallet.ui.CurrencyTextView
bitcoin-wallet-7.07-prod,DialogBuilder,DialogBuilder,Service Provider,wallet.ui,wallet.ui.DialogBuilder
bitcoin-wallet-7.07-prod,DividerItemDecoration,DividerItemDecoration,Interfacer,wallet.ui,wallet.ui.DividerItemDecoration
bitcoin-wallet-7.07-prod,EditAddressBookEntryFragment,EditAddressBookEntryFragment,Interfacer,wallet.ui,wallet.ui.EditAddressBookEntryFragment
bitcoin-wallet-7.07-prod,EncryptKeysDialogFragment,EncryptKeysDialogFragment,Interfacer,wallet.ui,wallet.ui.EncryptKeysDialogFragment
bitcoin-wallet-7.07-prod,EncryptKeysDialogFragment$State,EncryptKeysDialogFragment$State,Information Holder,wallet.ui,wallet.ui.EncryptKeysDialogFragment$State
bitcoin-wallet-7.07-prod,Event,Event,Information Holder,wallet.ui,wallet.ui.Event
bitcoin-wallet-7.07-prod,Event$Observer,Event$Observer,Service Provider,wallet.ui,wallet.ui.Event$Observer
bitcoin-wallet-7.07-prod,ExchangeRatesActivity,ExchangeRatesActivity,Service Provider,wallet.ui,wallet.ui.ExchangeRatesActivity
bitcoin-wallet-7.07-prod,ExchangeRatesAdapter,ExchangeRatesAdapter,Structurer,wallet.ui,wallet.ui.ExchangeRatesAdapter
bitcoin-wallet-7.07-prod,ExchangeRatesAdapter$ListItem,ExchangeRatesAdapter$ListItem,Information Holder,wallet.ui,wallet.ui.ExchangeRatesAdapter$ListItem
bitcoin-wallet-7.07-prod,ExchangeRatesAdapter$OnClickListener,ExchangeRatesAdapter$OnClickListener,Service Provider,wallet.ui,wallet.ui.ExchangeRatesAdapter$OnClickListener
bitcoin-wallet-7.07-prod,ExchangeRatesAdapter$ViewHolder,ExchangeRatesAdapter$ViewHolder,Information Holder,wallet.ui,wallet.ui.ExchangeRatesAdapter$ViewHolder
bitcoin-wallet-7.07-prod,ExchangeRatesFragment,ExchangeRatesFragment,Interfacer,wallet.ui,wallet.ui.ExchangeRatesFragment
bitcoin-wallet-7.07-prod,ExchangeRatesViewModel,ExchangeRatesViewModel,Information Holder,wallet.ui,wallet.ui.ExchangeRatesViewModel
bitcoin-wallet-7.07-prod,ExchangeRatesViewModel$ExchangeRatesLiveData,ExchangeRatesViewModel$ExchangeRatesLiveData,Information Holder,wallet.ui,wallet.ui.ExchangeRatesViewModel$ExchangeRatesLiveData
bitcoin-wallet-7.07-prod,FancyListFragment,FancyListFragment,Interfacer,wallet.ui,wallet.ui.FancyListFragment
bitcoin-wallet-7.07-prod,HelpDialogFragment,HelpDialogFragment,Coordinator,wallet.ui,wallet.ui.HelpDialogFragment
bitcoin-wallet-7.07-prod,InputParser,InputParser,Service Provider,wallet.ui,wallet.ui.InputParser
bitcoin-wallet-7.07-prod,InputParser$BinaryInputParser,InputParser$BinaryInputParser,Service Provider,wallet.ui,wallet.ui.InputParser$BinaryInputParser
bitcoin-wallet-7.07-prod,InputParser$StreamInputParser,InputParser$StreamInputParser,Service Provider,wallet.ui,wallet.ui.InputParser$StreamInputParser
bitcoin-wallet-7.07-prod,InputParser$StringInputParser,InputParser$StringInputParser,Service Provider,wallet.ui,wallet.ui.InputParser$StringInputParser
bitcoin-wallet-7.07-prod,MaybeMaintenanceFragment,MaybeMaintenanceFragment,Coordinator,wallet.ui,wallet.ui.MaybeMaintenanceFragment
bitcoin-wallet-7.07-prod,MaybeMaintenanceViewModel,MaybeMaintenanceViewModel,Information Holder,wallet.ui,wallet.ui.MaybeMaintenanceViewModel
bitcoin-wallet-7.07-prod,MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData,MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData,Information Holder,wallet.ui,wallet.ui.MaybeMaintenanceViewModel$WalletMaintenanceRecommendedLiveData
bitcoin-wallet-7.07-prod,ProgressDialogFragment,ProgressDialogFragment,Service Provider,wallet.ui,wallet.ui.ProgressDialogFragment
bitcoin-wallet-7.07-prod,ProgressDialogFragment$Observer,ProgressDialogFragment$Observer,Service Provider,wallet.ui,wallet.ui.ProgressDialogFragment$Observer
bitcoin-wallet-7.07-prod,ReportIssueDialogBuilder,ReportIssueDialogBuilder,Service Provider,wallet.ui,wallet.ui.ReportIssueDialogBuilder
bitcoin-wallet-7.07-prod,ReportIssueDialogFragment,ReportIssueDialogFragment,Interfacer,wallet.ui,wallet.ui.ReportIssueDialogFragment
bitcoin-wallet-7.07-prod,ReportIssueViewModel,ReportIssueViewModel,Information Holder,wallet.ui,wallet.ui.ReportIssueViewModel
bitcoin-wallet-7.07-prod,RequestCoinsActivity,RequestCoinsActivity,Coordinator,wallet.ui,wallet.ui.RequestCoinsActivity
bitcoin-wallet-7.07-prod,RequestCoinsActivityViewModel,RequestCoinsActivityViewModel,Information Holder,wallet.ui,wallet.ui.RequestCoinsActivityViewModel
bitcoin-wallet-7.07-prod,RequestCoinsFragment,RequestCoinsFragment,Interfacer,wallet.ui,wallet.ui.RequestCoinsFragment
bitcoin-wallet-7.07-prod,RequestCoinsViewModel,RequestCoinsViewModel,Interfacer,wallet.ui,wallet.ui.RequestCoinsViewModel
bitcoin-wallet-7.07-prod,RequestCoinsViewModel$FreshReceiveAddressLiveData,RequestCoinsViewModel$FreshReceiveAddressLiveData,Information Holder,wallet.ui,wallet.ui.RequestCoinsViewModel$FreshReceiveAddressLiveData
bitcoin-wallet-7.07-prod,SendCoinsQrActivity,SendCoinsQrActivity,Interfacer,wallet.ui,wallet.ui.SendCoinsQrActivity
bitcoin-wallet-7.07-prod,SendingAddressesFragment,SendingAddressesFragment,Interfacer,wallet.ui,wallet.ui.SendingAddressesFragment
bitcoin-wallet-7.07-prod,SendingAddressesViewModel,SendingAddressesViewModel,Information Holder,wallet.ui,wallet.ui.SendingAddressesViewModel
bitcoin-wallet-7.07-prod,SendingAddressesViewModel$AddressesToExcludeLiveData,SendingAddressesViewModel$AddressesToExcludeLiveData,Information Holder,wallet.ui,wallet.ui.SendingAddressesViewModel$AddressesToExcludeLiveData
bitcoin-wallet-7.07-prod,SendingAddressesViewModel$ClipLiveData,SendingAddressesViewModel$ClipLiveData,Information Holder,wallet.ui,wallet.ui.SendingAddressesViewModel$ClipLiveData
bitcoin-wallet-7.07-prod,ShowPasswordCheckListener,ShowPasswordCheckListener,Service Provider,wallet.ui,wallet.ui.ShowPasswordCheckListener
bitcoin-wallet-7.07-prod,StickToTopLinearLayoutManager,StickToTopLinearLayoutManager,Service Provider,wallet.ui,wallet.ui.StickToTopLinearLayoutManager
bitcoin-wallet-7.07-prod,TransactionsAdapter,TransactionsAdapter,Controller,wallet.ui,wallet.ui.TransactionsAdapter
bitcoin-wallet-7.07-prod,TransactionsAdapter$ChangeType,TransactionsAdapter$ChangeType,Information Holder,wallet.ui,wallet.ui.TransactionsAdapter$ChangeType
bitcoin-wallet-7.07-prod,TransactionsAdapter$ItemAnimator,TransactionsAdapter$ItemAnimator,Service Provider,wallet.ui,wallet.ui.TransactionsAdapter$ItemAnimator
bitcoin-wallet-7.07-prod,TransactionsAdapter$ListItem,TransactionsAdapter$ListItem,Information Holder,wallet.ui,wallet.ui.TransactionsAdapter$ListItem
bitcoin-wallet-7.07-prod,TransactionsAdapter$OnClickListener,TransactionsAdapter$OnClickListener,Service Provider,wallet.ui,wallet.ui.TransactionsAdapter$OnClickListener
bitcoin-wallet-7.07-prod,TransactionsAdapter$TransactionViewHolder,TransactionsAdapter$TransactionViewHolder,Information Holder,wallet.ui,wallet.ui.TransactionsAdapter$TransactionViewHolder
bitcoin-wallet-7.07-prod,TransactionsAdapter$WarningType,TransactionsAdapter$WarningType,Information Holder,wallet.ui,wallet.ui.TransactionsAdapter$WarningType
bitcoin-wallet-7.07-prod,TransactionsAdapter$WarningViewHolder,TransactionsAdapter$WarningViewHolder,Information Holder,wallet.ui,wallet.ui.TransactionsAdapter$WarningViewHolder
bitcoin-wallet-7.07-prod,WalletActionsFragment,WalletActionsFragment,Coordinator,wallet.ui,wallet.ui.WalletActionsFragment
bitcoin-wallet-7.07-prod,WalletActivity,WalletActivity,Interfacer,wallet.ui,wallet.ui.WalletActivity
